Student_ID,Age,Gender,Study_Hours_Per_Day,Sleep_Hours_Per_Night,Screen_Time_Hours,Social_Media_Hours,Attendance_Percentage,Assignments_Completed,Class_Participation_Score,Physical_Activity_Hours_Per_Week,Stress_Level,Motivation_Level,Internet_Quality,Part_Time_Job,Extracurricular_Involvement,AI_Tool_Usage_Hours_Per_Week,Previous_Semester_GPA,Productivity_Score,Performance_Category,Prediction
35,25.0,0,2.2,8.0,8.2,6.9,99.0,96.7,8.0,1.2,2.8,7.4,0,0,3.3,8.8,7.75,75.78,0,0
36,23.0,1,3.0,8.1,8.6,5.2,56.8,59.4,7.5,5.4,8.0,7.0,0,0,0.5,3.0,6.55,38.14,1,1
37,19.0,0,6.0,6.8,1.6,4.1,80.1,68.8,4.8,5.8,5.4,4.5,2,0,1.8,14.4,3.2,54.96,2,2
38,20.134890807516506,1,4.3,6.4,5.2,6.3,71.6,72.1,4.3,6.2,6.8,5.7,0,0,6.0,7.3,5.1,55.33,2,2
39,22.0,0,0.6,8.5,8.5,2.9,73.1,89.7,4.3,3.2008618067525094,3.5,4.5,1,0,5.9,1.4,7.27,45.9,1,1
40,20.0,1,7.7,6.5,3.7,2.9,68.9,60.4,5.2,2.9,6.7,6.4,0,1,1.2,2.2,5.87,56.57,2,2
41,17.0,0,3.1,8.0,9.0,1.1,87.0,63.0,5.2,2.2,4.2,8.4,0,0,2.1,3.7,4.89,59.13,2,2
42,20.0,1,3.4,6.8,10.5,5.3,48.1,90.8,5.7,4.1,5.2,8.3,1,1,3.1,6.8,3.39,43.07,1,1
43,16.0,1,4.7,5.6,9.0,6.5,78.2,85.1,4.9,4.7,3.1,6.9,1,1,7.5,3.6,6.97,53.16,2,2
44,24.0,0,5.5,9.1,7.7,4.6,56.3,39.9,7.8,4.0,4.7,4.7,1,0,2.6,19.8,6.68,38.64,1,1
45,18.0,0,8.1,7.2,4.9,5.6,71.0,86.8,7.1,0.6,6.1,4.4,0,1,1.1,2.5,7.99,45.5,1,1
46,21.0,0,0.9,6.1,6.7,0.0,77.2,48.5,5.6,3.4,5.5,2.9,0,1,7.7,2.5,8.85,40.12,1,1
47,19.0,1,5.9,5.2,2.6,7.2,74.7,63.6,4.8,2.9,5.542839731870811,5.8,0,0,3.8,4.2,6.489753023681269,37.31,1,1
48,20.0,1,5.7,5.3,4.0,2.8,88.9,68.4,4.8,4.6,4.2,4.5,0,0,3.5,2.1,8.44,55.48,2,2
49,20.0,0,3.9,6.5,4.2,7.2,96.2,66.6,7.0,3.4,9.0,8.2,0,0,2.7,12.2,3.85,46.75,2,2
50,18.0,2,5.8,9.5,6.2,6.1,100.0,63.3,6.1,5.9,4.7,2.9,0,0,2.2,1.9,7.41,51.79,2,2
51,25.0,0,6.1,6.2,5.0,4.4,79.9,56.3,6.4,3.9,9.1,7.6,0,0,4.9,3.9,8.82,51.07,2,2
52,20.134890807516506,1,1.4,8.9,6.7,2.4,95.1,84.2,7.9,3.9,6.2,2.8,2,1,3.4,7.4,4.76,52.12,2,2
53,24.0,0,7.7,6.8,8.2,3.3,99.0,46.0,5.9,0.4,10.0,3.7,1,1,1.7,6.6,7.26,41.02,1,1
54,24.0,1,1.1,5.5,4.2,0.0,73.8,65.4,9.0,1.1,5.8,4.3,1,0,1.9,2.3,5.45,41.12,1,1
55,21.0,0,1.9,6.4,6.4,4.7,96.0,89.2,1.6,2.3,2.1,4.1,1,1,6.2,6.0,5.56,52.04,2,2
56,24.0,1,3.7,5.3,5.0,0.0,51.7,82.2,3.1,2.1,5.0,8.4,0,1,6.5,4.9,7.86,45.84,1,1
57,17.0,1,8.0,5.9,6.5,2.5,83.9,50.1,10.0,1.1,5.5,5.9,1,0,3.1,0.4,6.65,46.75,2,2
58,18.0,0,3.6,5.8,7.7,5.8,100.0,40.3,5.1,5.4,9.1,8.5,2,1,4.1,2.9,4.58,38.94,1,1
59,16.0,0,4.1,4.5,8.3,4.3,81.3,55.4,6.7,3.7,1.6,6.1,0,1,5.1,3.9,7.49,45.42,1,1
60,19.0,1,7.1,9.0,7.7,0.2,77.5,35.8,8.8,1.2,3.5,4.3,2,0,3.9,1.1,7.63,47.08,2,2
61,19.0,1,3.6,7.3,7.0,0.6,77.5,76.7,6.8,0.7,6.0,2.9,0,0,3.3,0.7,7.91,47.43,2,2
62,18.0,1,1.8,6.1,2.4,1.9,99.1,66.7,8.0,2.8,6.2,5.2,2,0,4.0,13.2,5.51,56.61,2,2
63,23.0,0,3.4,7.3,3.3,3.1,59.3,68.1,7.4,4.0,8.3,4.6,0,0,6.5,5.3,4.39,60.96,2,2
64,19.0,1,6.9,5.9,3.9,4.6,74.9,84.2,8.2,4.2,1.2,7.1,0,0,2.8,5.6,6.48,69.3,0,0
65,18.0,1,4.3,3.5,6.9,4.1,91.0,90.7,7.1,3.6,3.9,8.2,0,1,3.4,5.2,5.04,50.62,2,2
66,20.0,0,8.1,10.0,2.8,1.1,84.1,79.3,7.6,5.7,7.4,9.1,0,1,7.5,1.8,7.9,76.22,0,0
67,17.0,0,5.7,7.2,6.8,4.1,95.4,71.0,4.7,0.9,5.4,7.0,1,1,5.3,4.1,7.32,64.24,0,0
68,23.0,0,2.9,6.2,6.7,4.3,88.9,62.4,7.2,2.8,7.1,3.9,2,0,6.9,5.3,6.86,48.7,2,2
69,17.0,0,4.3,4.5,1.2,3.9,73.9,68.7,5.9,3.6,5.2,7.5,1,0,4.4,6.4,8.88,56.38,2,2
70,25.0,0,2.5,5.1,3.3,7.5,87.6,78.7,5.8,0.4,7.8,7.5,1,0,6.4,8.6,6.78,33.05,1,1
71,22.0,0,2.9,9.2,8.6,4.3,62.8,91.7,2.3,1.2,4.0,4.2,0,1,10.0,15.2,8.8,57.98,2,2
72,18.0,0,12.0,9.0,7.7,4.7,53.8,50.0,5.1,3.0,4.9,6.5,1,0,5.2,4.2,9.05,31.26,1,1
73,16.0,0,6.2,8.0,3.9,6.4,72.1,54.7,5.7,5.0,5.4,4.8,1,1,1.1,11.3,7.23,52.35,2,2
74,23.0,1,5.9,5.6,3.4,4.5,81.0,74.9,9.4,0.9,3.9,4.1,0,0,1.9,3.5,7.15,50.36,2,2
75,22.0,2,3.0,9.0,1.0,2.0,69.4,37.0,5.4,1.4,5.8,8.1,0,0,4.3,3.1,6.8,53.23,2,2
76,20.134890807516506,1,7.3,7.6,9.7,5.2,82.3,80.1,6.6,1.8,4.5,6.3,2,0,3.9,2.6,5.83,52.68,2,2
77,22.0,1,6.4,7.9,6.1,2.3,80.8,94.0,9.0,2.4,5.542839731870811,8.2,0,0,5.9,1.6,5.23,72.11,0,0
78,17.0,1,8.0,7.6,10.7,1.2,55.8,100.0,3.3,2.8,6.1,5.6,0,1,0.1,11.7,7.17,46.79,2,2
79,19.0,1,7.9,5.0,5.5,1.4,73.0,76.5,5.2,3.7,3.9,4.6,0,0,1.3,4.4,9.31,51.17,2,2
80,17.0,2,1.2,5.4,6.7,5.2,92.2,90.5,7.9,5.9,6.7,1.8,0,1,4.0,1.2,6.29,46.5,1,1
81,23.0,0,2.0,6.3,8.2,4.1,86.3,75.4,10.0,0.7,6.0,9.8,0,0,3.8,7.7,7.76,67.26,0,0
82,21.0,0,2.2,7.8,10.1,4.9,70.9,74.2518720906699,1.6,1.6,4.2,8.4,0,1,1.1,3.4,8.8,58.14,2,2
83,19.0,0,2.3,5.2,7.3,4.1,88.0,67.4,5.7,3.5,7.4,4.1,0,1,8.7,4.4,6.41,32.17,1,1
84,16.0,0,4.8,6.8,6.0,3.3,100.0,80.9,7.4,3.2,5.8,1.0,2,1,5.2,8.4,5.58,51.83,2,2
85,19.0,1,3.1,6.8,6.1,3.6,74.5,85.9,7.9,3.1,7.9,8.3,0,1,3.3,10.1,7.18,48.79,2,2
86,19.0,0,8.3,8.0,3.4,4.1,89.6,82.0,10.0,5.9,8.6,6.7,2,0,6.1,1.8,7.51,86.79,0,0
87,22.0,0,8.0,7.9,5.0,1.9,87.6,61.1,4.6,1.8,3.1,7.8,0,0,2.3,4.1,9.77,63.53,0,0
88,21.0,1,4.2,5.7,6.1,0.7,73.8,50.3,5.5,4.9,9.2,1.6,1,0,9.5,4.9,7.1,40.84,1,1
89,24.0,0,8.1,8.9,9.5,2.1,65.3,93.4,2.4,5.3,6.7,3.2,0,0,2.3,1.6,4.01,33.06,1,1
90,20.0,1,7.2,5.5,4.9,4.0,100.0,79.5,6.3,3.2008618067525094,6.2,5.957923664122137,1,0,3.2,2.3,4.19,53.0,2,2
91,17.0,1,3.3,8.4,8.7,1.8,94.2,76.4,7.1,10.9,5.542839731870811,4.5,0,0,8.5,4.1,7.16,72.85,0,0
92,22.0,1,0.2,6.3,5.8,6.8,76.4,91.1,10.0,2.3,6.2,4.9,2,1,2.3,9.7,7.43,43.64,1,1
93,22.0,1,3.8,7.2,9.1,3.8,95.8,90.2,9.7,2.6,1.0,1.6,1,0,3.7,2.4,6.489753023681269,74.26,0,0
94,21.0,0,2.9,7.3,7.7,3.2,87.2,81.4,9.3,7.2,3.1,5.0,2,1,3.5,6.6,5.36,60.41,2,2
95,22.0,0,4.6,7.3,7.5,1.9,95.7,86.4,4.5,4.5,1.4,6.5,0,0,0.4,4.7,6.86,68.78,0,0
96,20.0,1,4.4,7.9,8.4,4.6,56.7,65.5,6.9,4.3,5.2,7.5,0,0,5.0,4.8,3.71,45.1,1,1
97,20.0,0,4.3,7.5,8.1,0.8,74.7,84.6,6.9,2.1,8.5,6.9,1,0,6.2,5.5447261663286005,6.12,56.47,2,2
98,19.0,0,5.2,8.0,8.7,3.6,100.0,46.8,7.0,3.7,6.1,5.0,1,0,5.6,10.5,9.06,59.47,2,2
99,16.0,1,1.8,7.6,11.3,2.2,100.0,75.4,5.9,2.4,6.8,7.8,1,1,4.1,6.9,7.09,54.87,2,2
100,17.0,1,5.0,5.4,10.0,3.2,74.9,88.5,8.5,3.2,5.0,5.1,1,1,0.0,1.2,2.42,39.55,1,1
101,16.0,2,3.3,7.4,7.2,3.9,74.7,62.1,5.2,0.2,5.5,10.0,0,0,5.2,10.1,4.18,53.76,2,2
102,21.0,0,4.6,6.3,4.9,0.9,88.9,77.6,6.7,5.0,1.6,6.8,0,0,2.2,3.3,7.0,68.87,0,0
103,19.0,2,6.1,5.6,6.9,0.0,84.5,80.4,9.2,1.8,7.8,5.9,1,0,1.4,12.4,5.94,57.16,2,2
104,20.0,1,1.8,6.6,1.2,1.3,86.9,59.0,10.0,5.4,6.6,6.1,0,0,4.5,1.3,6.14,51.58,2,2
105,24.0,0,3.6,7.2,8.1,4.6,51.9,95.3,4.2,0.8,7.2,4.1,0,1,2.8,10.4,4.48,35.49,1,1
106,18.0,1,4.0,7.3,3.3,3.7,76.9,80.8,7.2,4.3,6.3,7.7,0,0,2.1,8.7,8.1,76.16,0,0
107,19.0,1,3.2,8.4,8.8,2.3,90.5,44.8,7.0,1.2,4.5,4.3,0,0,7.1,0.8,7.21,48.46,2,2
108,22.0,0,6.0,8.7,11.0,6.5,49.4,76.6,8.7,3.0,6.6,8.3,0,0,3.5,7.0,9.52,55.31,2,2
109,18.0,1,2.8,7.4,2.4,5.3,59.0,100.0,9.6,3.1,4.8,6.5,2,1,3.0,8.5,6.62,71.73,0,0
110,17.0,1,3.1,7.7,5.9,4.9,56.9,74.9,5.3,1.6,5.3,4.2,1,1,5.9,4.7,2.41,42.97,1,1
111,18.0,1,2.8,7.1,3.3,1.7,88.5,63.3,5.8,1.7,8.0,6.9,0,0,3.7,15.6,3.6,63.43,0,0
112,18.0,1,6.4,8.0,1.7,4.9,67.9,65.2,6.2,3.4,7.7,4.5,0,0,5.4,4.7,8.84,59.11,2,2
113,24.0,0,3.2,6.976601980998585,5.7,3.6,64.4,72.1,7.1,3.7,4.4,4.3,0,1,0.0,5.4,7.82,46.62,1,1
114,23.0,0,5.1,6.9,7.6,1.7,80.7,53.2,5.991217524197657,1.8,6.3,6.4,1,0,0.0,4.2,7.08,55.13,2,2
115,21.0,1,8.2,9.8,7.9,2.8,63.9,100.0,5.2,1.3,7.9,6.7,0,1,1.6,4.1,7.59,47.26,2,2
116,23.0,1,4.1,6.3,6.4,1.1,85.9,91.6,10.0,1.5,2.3,5.0,1,0,3.5,5.9,6.17,80.44,0,0
117,20.134890807516506,1,6.4,8.9,1.8,1.7,100.0,94.4,2.0,1.6,5.8,5.0,0,1,6.9,8.1,6.99,65.54,0,0
118,18.0,0,7.5,5.2,6.3,0.9,75.2,47.9,3.4,2.8,5.8,5.2,0,0,0.2,10.1,5.12,26.93,1,1
119,24.0,1,6.3,8.1,2.3,4.7,54.7,77.3,7.3,1.8,1.8,7.3,0,0,0.6,7.1,5.26,64.98,0,0
120,20.0,0,4.2,8.9,2.4,2.9,74.1,94.4,5.6,1.5,3.4,7.4,1,1,6.6,11.9,6.82,65.21,0,0
121,23.0,1,5.5,4.5,3.5,1.3,86.4,58.0,4.8,0.9,2.8,7.2,1,0,1.6,2.3,5.07,37.78,1,1
122,24.0,1,1.6,7.2,8.6,3.9,85.1,73.7,8.1,2.5,5.2,4.6,0,0,1.3,10.0,8.97,56.49,2,2
123,19.0,0,2.6,7.9,7.4,3.0,90.9,55.2,7.8,2.1,6.0,10.0,0,0,6.4,7.3,3.99,68.51,0,0
124,17.0,0,3.0,7.3,6.8,4.9,72.3,90.0,8.7,4.7,2.4,1.0,1,0,0.0,3.1,10.0,74.12,0,0
125,18.0,1,8.7,7.5,3.8,3.2,76.4,71.1,3.7,0.6,3.9,4.0,0,0,5.0,5.7,7.78,61.65,2,2
126,19.0,0,2.6,7.2,5.0,3.03210685483871,48.1,73.3,7.8,2.7,5.1,7.1,0,0,6.8,13.4,4.68,45.33,1,1
127,23.0,0,2.5,5.6,2.6,2.1,88.0,54.7,7.8,1.8,9.5,9.3,0,0,3.8,6.7,5.61,60.11,2,2
128,23.0,0,2.1,10.0,9.4,0.9,63.0,100.0,3.8,0.2,4.3,6.7,1,0,3.4,7.0,8.34,55.66,2,2
129,16.0,0,5.3,6.3,11.5,4.0,82.6,75.9,6.1,1.6,5.4,5.3,1,0,6.0,1.4,8.12,61.44,2,2
130,20.0,0,4.5,7.6,7.4,5.0,68.7,89.2,8.1,3.8,6.2,8.6,0,0,4.7,4.3,6.34,65.15,0,0
131,19.0,2,6.4,6.2,7.8,0.2,78.9,81.9,5.991217524197657,0.6,9.3,4.9,1,0,0.0,10.4,6.79,51.15,2,2
132,18.0,1,5.5,4.0,5.6,2.8,92.5,58.6,5.7,3.3,5.8,4.2,1,1,0.0,17.2,6.71,40.36,1,1
133,17.0,0,1.4,5.8,2.0,5.1,74.3,45.5,3.6,5.8,9.4,7.8,0,0,5.2,8.4,5.88,42.66,1,1
134,19.0,1,2.6,5.1,6.047861775435752,0.2,70.4,71.6,9.4,1.1,2.2,9.2,0,1,1.2,5.8,5.66,65.46,0,0
135,24.0,1,6.9,8.4,4.8,2.2,80.0,94.9,6.1,5.5,7.1,2.5,0,1,4.6,6.2,5.36,58.47,2,2
136,19.0,1,3.8,6.2,5.0,3.0,71.6,39.5,1.8,2.4,3.7,9.6,0,1,5.2,2.4,7.03,44.86,1,1
137,20.0,1,6.6,6.3,4.5,4.9,67.8,100.0,5.5,2.2,5.0,8.0,0,0,4.5,11.1,7.97,66.64,0,0
138,22.0,0,3.9,5.6,6.1,4.0,100.0,90.0,8.5,0.5,4.5,7.8,0,0,1.4,6.0,6.23,60.73,2,2
139,19.0,0,2.3,7.1,6.047861775435752,4.3,55.9,78.4,3.3,0.6,3.1,7.9,0,1,3.8,5.9,8.45,43.56,1,1
140,25.0,0,3.6,6.1,11.4,4.1,88.5,72.9,6.3,2.1,7.9,7.4,0,1,1.5,2.8,5.08,43.58,1,1
141,25.0,1,2.3,8.3,2.6,2.3,78.2,90.5,5.3,3.6,3.3,7.0,1,0,3.6,6.2,8.2,73.03,0,0
142,18.0,1,3.1,7.4,8.2,6.0,69.3,53.0,5.9,1.9,4.1,5.5,0,0,3.3,12.4,5.82,46.52,1,1
143,20.134890807516506,0,4.6,6.3,5.3,1.8,84.5,83.0,5.0,2.4,5.0,3.2,1,1,2.3,1.6,5.7,52.66,2,2
144,19.0,1,5.2,8.1,7.2,0.0,80.4,80.5,7.1,1.3,4.0,4.0,0,1,5.6,6.1,6.72,71.11,0,0
145,18.0,0,1.0,7.0,7.3,0.0,97.2,100.0,5.5,1.5,6.1,6.6,1,0,8.1,1.3,7.71,64.09,0,0
146,16.0,0,4.2,7.0,6.4,2.8,65.3,68.4,7.4,1.7,1.3,6.2,0,1,4.5,7.7,5.56,67.49,0,0
147,21.0,0,3.0,5.1,3.2,2.4,73.3,75.8,5.2,4.2,3.5,4.3,0,0,1.7,4.3,5.59,48.73,2,2
148,20.0,0,2.9,6.9,5.2,2.0,93.2,73.8,8.5,5.4,3.8,4.7,2,0,1.9,2.8,8.53,69.0,0,0
149,16.0,0,4.5,7.4,6.4,3.3,77.3,65.7,6.0,0.8,3.6,5.9,0,0,1.8,4.8,8.59,43.77,1,1
150,18.0,1,3.1,8.7,6.047861775435752,5.2,87.1,100.0,5.991217524197657,2.6,8.5,4.6,1,0,4.2,4.6,7.63,63.57,0,0
151,24.0,0,7.0,6.0,3.4,3.8,95.8,74.2518720906699,4.1,5.0,4.5,4.4,0,0,1.9,5.5447261663286005,7.6,53.35,2,2
152,18.0,1,6.6,10.0,9.2,4.2,87.3,47.7,3.5,1.1,4.4,7.8,0,0,5.1,6.6,8.2,45.12,1,1
153,17.0,1,6.6,7.7,1.0,1.1,72.1,79.4,3.6,1.6,5.9,3.7,2,0,3.7,3.1,5.98,42.83,1,1
154,20.0,1,3.2,5.0,5.4,2.1,75.4,62.0,3.1,1.1,7.7,5.9,2,1,2.6,2.3,6.68,21.2,1,1
155,25.0,0,2.3,5.9,3.7,4.3,95.9,79.6,3.6,2.7,4.1,7.1,1,0,6.7,5.9,6.22,64.11,0,0
156,18.0,1,4.4,8.8,6.5,3.2,82.0,86.4,6.0,2.0,6.1,6.2,0,0,2.5,19.5,8.26,60.76,2,2
157,21.0,1,3.9,8.6,8.5,3.9,77.4,77.6,7.6,2.4,2.7,5.2,1,1,1.9,2.6,9.22,63.18,0,0
158,22.0,1,3.0,7.0,2.5,4.1,85.0,75.4,3.0,0.6,6.2,9.5,2,0,0.7,1.4,6.86,54.14,2,2
159,18.0,0,1.8,7.2,11.9,3.3,63.3,37.9,4.2,3.7,5.4,7.9,2,1,10.0,0.9,6.53,35.01,1,1
160,22.0,1,4.1,5.5,6.5,5.8,76.9,85.1,7.8,2.3,3.2,10.0,0,1,5.4,8.3,6.92,58.51,2,2
161,19.0,0,3.4,8.7,7.0,2.0,79.0,78.5,5.7,0.2,1.7,4.9,0,0,7.1,3.8,6.89,58.72,2,2
162,21.0,0,5.6,5.7,2.4,1.5,78.8,100.0,2.2,1.3,8.1,6.4,0,0,3.6,6.4,6.2,47.81,2,2
163,21.0,1,5.5,8.1,5.9,0.0,74.9,95.5,6.1,3.4,7.5,8.2,0,0,3.0,3.2,6.45,68.27,0,0
164,20.0,1,6.4,8.8,8.4,4.3,76.0,48.3,6.8,2.8,6.7,10.0,2,1,3.2,19.8,10.0,57.51,2,2
165,17.0,0,1.7,7.1,6.5,2.0,78.5,94.1,6.7,2.6,8.3,8.3,1,1,2.7,2.6,8.01,67.74,0,0
166,23.0,1,5.0,8.3,6.4,5.3,99.0,51.6,10.0,0.9,6.7,5.2,0,0,4.050203624516392,7.3,6.42,59.12,2,2
167,19.0,1,2.7,9.4,5.9,3.4,51.4,90.0,4.3,7.4,3.4,6.1,1,0,3.8,3.8,5.94,46.38,1,1
168,18.0,1,1.8,7.3,2.6,2.4,89.1,100.0,8.4,3.2008618067525094,5.9,6.0,1,0,7.6,4.7,4.62,76.33,0,0
169,16.0,0,3.3,6.8,2.5,1.1,78.9,100.0,5.9,4.1,8.9,6.3,2,0,5.2,1.2,4.01,66.33,0,0
170,21.0,1,6.3,6.9,8.9,4.5,79.2,67.9,7.0,4.1,4.3,5.4,1,0,5.7,9.4,8.01,62.18,2,2
171,21.0,0,3.5,6.0,8.2,2.9,74.7,87.7,4.6,2.5,4.8,6.4,1,0,7.6,9.7,7.63,55.02,2,2
172,16.0,1,7.3,6.0,8.6,3.5,86.5,93.2,4.5,2.3,6.3,1.0,1,0,0.1,2.2,6.66,45.52,1,1
173,20.0,0,5.3,7.6,3.9,4.1,92.4,83.5,3.2,4.0,8.8,3.9,1,0,3.0,9.7,7.13,60.06,2,2
174,18.0,1,3.4,6.8,5.6,3.5,55.3,44.9,2.8,0.8,5.542839731870811,7.6,0,1,6.7,7.9,5.57,23.36,1,1
175,21.0,1,6.5,7.4,9.1,1.5,100.0,77.8,7.5,3.6,3.6,10.0,2,1,1.9,4.7,7.91,73.64,0,0
176,18.0,1,5.1,5.1,2.9,3.9,81.9,85.2,4.8,2.3,5.7,6.5,2,1,0.3,8.1,6.61,41.72,1,1
177,22.0,0,2.3,6.9,8.8,4.5,81.4,75.0,10.0,1.9,5.7,5.2,0,1,1.0,9.2,4.74,55.04,2,2
178,19.0,1,7.9,8.3,4.5,3.6,61.9,59.5,5.0,2.6,6.9,3.4,1,0,6.4,10.3,9.43,56.88,2,2
179,24.0,0,4.7,5.5,3.9,4.1,72.6,71.4,7.5,2.4,2.5,4.3,1,1,7.4,11.5,6.29,60.15,2,2
180,17.0,0,4.2,7.0,5.9,4.3,97.7,91.2,6.1,3.4,2.5,5.9,1,0,3.6,5.4,4.52,74.71,0,0
181,19.0,0,2.5,4.6,3.2,2.3,80.9,82.1,2.0,0.2,5.3,6.7,0,1,4.9,4.1,5.72,36.66,1,1
182,17.0,1,6.6,5.3,1.3,2.2,85.4,83.4,3.0,0.7,5.5,4.4,1,0,3.9,11.6,8.71,58.24,2,2
183,24.0,1,5.2,8.0,6.2,7.0,74.0,70.5,2.7,5.9,3.6,5.9,1,0,4.5,4.3,2.23,54.57,2,2
184,23.0,1,5.5,6.6,7.3,5.4,100.0,82.7,9.2,0.6,5.7,7.2,2,0,1.8,4.3,9.22,58.63,2,2
185,18.0,0,3.2,9.4,9.0,2.9,78.0,37.1,8.9,5.7,5.6,8.1,1,1,4.050203624516392,3.0,9.27,62.39,2,2
186,21.0,0,5.9,7.6,6.047861775435752,4.2,94.7,74.2,10.0,1.4,9.5,6.5,1,1,2.6,5.1,5.45,56.79,2,2
